"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF620",170.838483525657,193.575744770198,162.225884569392,0.83804861379703,-0.254894160211361,0.150390803553459,0.24057139945913,220,167,105,92.5,13.319499490096,9.53135989040691
"ZNF619",184.761032519706,180.265901692693,186.463733590544,1.03438160983111,0.0487685309555929,0.404213334814315,0.517937799682502,196,160.5,109,205.25,16.0384205373638,18.6053009267629
"ZNF354C",48.6081933811493,105.9429888801,26.890467813365,0.253820173450063,-1.97812135675742,5.00653370152853e-14,1.13147661654545e-12,109,14.5,94,19,12.4749776218904,4.76026084904939
"ZNF114",35.539548914105,27.8274124972863,38.4608127083545,1.3821196171978,0.46688248089995,0.404877631020245,0.517937799682502,32,21.5,25,38.5,3.48664117262827,5.37732998397781
"ZNF454",31.4665122179887,74.8196228319336,15.0448794096762,0.20108200015217,-2.31414415025773,1.52506564245107e-15,5.74441391989901e-14,89,6.5,59,7.75,7.94567387534458,3.42313501906694
"ZNF543",336.060867510871,286.408833217673,354.868456258294,1.23902762450274,0.30920835316764,0.0427813701778196,0.0828736256587477,340,359.5,135,201,18.5935185839941,17.4269556010655
"ZNF354B",215.605951915135,236.102437554163,207.842131597322,0.880304895410669,-0.183924804190795,0.146492875606334,0.238534060214827,279,178,92,125,13.3970792836847,10.9270256938257
"ZNF223",251.156035661369,270.39869265435,243.867150436754,0.901879916810429,-0.148992740070845,0.431119702377595,0.54330698552418,303,239.5,122,164.5,15.8382448522556,13.6923605504812
"ZNF713",121.860263664086,173.894367074659,102.150376008566,0.587427745515813,-0.767516685927454,8.63425242266953e-05,0.000380131372894152,211,95,100,78.25,15.7342005410719,8.30543943576939
"ZNF552",581.266777799431,630.02653731295,562.797171923097,0.893291216467508,-0.162797518574495,0.17436667795632,0.272397713489366,723,504,268,309.5,51.6702686916438,35.0615568327405
"ZNF154",273.240618456926,207.619850346047,298.096970014077,1.43578260709286,0.52183732617248,0.0156616015857861,0.0349294930104046,233,234,151,406.25,22.5415083789883,31.1299777365815
"ZNF571",198.182613753493,214.183516878848,192.12166559995,0.896995569031687,-0.156827236333462,0.269144247846746,0.377024380248127,243,187,40,98.25,9.17096868747608,9.69255071223131
"ZNF443",299.157118038405,266.172130930078,311.651431337013,1.17086424580973,0.227573814310063,0.271238077180549,0.37839386075805,282,289.5,107,141.5,22.4876914481382,14.7992323338686
"ZNF792",160.122025064537,238.926261431298,130.271935531674,0.545239082348144,-0.875039117687331,1.73659846588808e-07,1.41258282646315e-06,261,111,100,96,25.5987056964475,10.8749848882581
"ZFP82",152.819671508451,168.306657572361,146.953388908485,0.873128793763281,-0.195733615810838,0.435785740564013,0.545364200664863,180,142.5,64,115,11.9334934812345,10.9854837851817
"ZNF707",506.855311761617,419.207228092623,540.055343454418,1.28827774728897,0.365443665997709,0.113214169300011,0.195814303023999,488,492.5,218,252.75,29.6875237543765,26.4651797501979
"ZNF746",1098.64189682632,1003.48176700682,1134.68740054583,1.13075039114101,0.177280495016062,0.435969611740938,0.545364200664863,1158,1029.5,287,469.5,54.5918895075083,41.1227811375602
"ZNF678",85.3615944557966,111.504983940365,75.4587954086117,0.676730247761559,-0.563347220865763,0.00798330271903155,0.0194700692212352,132,72,71,77,11.5127002335102,6.45923995099331
"HKR1",2526.89443567821,1868.07540518412,2776.44709874415,1.48626072108181,0.571687216830998,7.7947695421294e-06,4.47868961827435e-05,2158,2781.5,483,1039.25,71.1119043011318,110.589198701928
"ZNF101",247.846723549749,292.552807217568,230.912600948303,0.789302290907694,-0.341350158311115,0.0173987069214974,0.0382796964106916,292,211,116,124.75,28.2393059404795,10.9093758056557
