"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF763",0.985568889711382,0.704971570186013,0.00721080758160741,0.816612455652434,0.0912956989034227,0.81401416207829
"ZNF679",0.991021320859943,0.999848805878362,0.352536346607649,0.999998474633912,0.606205630615062,0.977128812658103
"ZNF682",0.544763030690493,0.450817584504513,0.910077442221911,0.322681908330698,0.348747382122088,0.744113807822044
"ZNF772",0.821698136406926,0.556445156795538,0.200450076754659,0.782607516407365,0.988073542461027,0.351179427164847
"ZNF257",0.0861892142790798,0.0566566221920919,0.877069735911099,0.0625059443213176,0.938986210320944,0.998309511692798
"ZNF785",0.999999925535831,0.974651913847605,0.250503968861613,0.988401955346454,0.501876729246778,0.970379002086482
"ZNF98",0.00141113294024797,0.00290611263385721,0.806628801338868,0.00375941377083622,0.622801412546792,0.988436210700368
"ZNF786",0.934962234443423,0.668467582947752,0.0752436391619663,0.808224577101244,0.539342165309604,0.704814417888958
"ZNF517",0.855145160296123,0.670056041019647,0.449425442225795,0.681352505211072,0.505596280404959,0.999820596439374
"ZNF675",0.0758307071702703,0.0401395224453411,0.692966644505797,0.103374421777018,0.937716816689999,0.331363975044251
"ZNF860",0.968041830701688,0.936121815778473,0.940740519164446,0.659877221457069,0.0132203840048526,0.0596057078024328
"ZNF695",0.467538565145903,0.754739575847373,0.168882328059969,0.816997796309895,0.0550783455562192,0.956854489747592
